No.,Ticker,Company,Sector,Industry,Country,Exchange, Market Cap ,P/E, Float ,Short Float,Volume,Price,Change
1,A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,NYSE," 37,789,710,000 ",27.85," 286,180,000 ",1.13%,1993003,134.36,-1.70%
2,AA,Alcoa Corp,Basic Materials,Aluminum,USA,NYSE," 10,983,690,000 ",," 256,390,000 ",3.63%,2055797,43.38,-3.13%
3,AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,NYSE, -   ,, -   ,,9849,25.06,-0.08%
4,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,AMEX, -   ,, -   ,,1339760,25.9,-2.46%
5,AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,NASD," 33,560,000 ",," 8,840,000 ",0.04%,23312,1.05,0.96%
6,AACT,Ares Acquisition Corporation II,Financial,Shell Companies,USA,NYSE," 679,370,000 ",25.83," 50,000,000 ",0.04%,188,10.88,0.17%
7,AADI,Aadi Bioscience Inc,Healthcare,Biotechnology,USA,NASD," 51,380,000 ",," 17,940,000 ",1.58%,70554,2.06,-3.06%
8,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,NASD, -   ,, -   ,,1339,65.97,0.03%
9,AAL,American Airlines Group Inc,Industrials,Airlines,USA,NASD," 9,404,800,000 ",43.84," 648,410,000 ",12.63%,14159208,14.11,2.21%
10,AAM,AA Mission Acquisition Corp,Financial,Shell Companies,USA,NYSE," 528,630,000 ",, -   ,,51100,10.05,-0.10%
11,AAM-U,AA Mission Acquisition Corp,Financial,Shell Companies,USA,NYSE, -   ,, -   ,,3969,10.07,0.00%
12,AAME,Atlantic American Corp,Financial,Insurance - Life,USA,NASD," 35,460,000 ",," 3,860,000 ",1.16%,3582,1.7,0.15%
13,AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,NASD," 1,907,820,000 ",," 37,610,000 ",29.04%,5565812,27.29,-1.69%
14,AAON,AAON Inc,Industrials,Building Products & Equipment,USA,NASD," 13,381,720,000 ",62.09," 66,990,000 ",4.01%,323950,141.84,2.61%
15,AAP,Advance Auto Parts Inc,Consumer Cyclical,Specialty Retail,USA,NYSE," 2,300,240,000 ",3417.67," 59,020,000 ",17.90%,1082241,39.65,4.60%
16,AAPB,GraniteShares 2x Long AAPL Daily ETF,Financial,Exchange Traded Fund,USA,NASD, -   ,, -   ,,98817,27.12,-3.87%
17,AAPD,Direxion Daily AAPL Bear 1X Shares,Financial,Exchange Traded Fund,USA,NASD, -   ,, -   ,,139381,17.22,1.89%
18,AAPL,Apple Inc,Technology,Consumer Electronics,USA,NASD," 3,359,880,890,000 ",36.7," 15,102,500,000 ",0.93%,25922640,222.79,-1.84%
