Unnamed: 0,Strategy,Date,Ticker,Target Entry,Volume Spike,Price Spike,Previous Day Close,Signal Time,Shares,Stop Price,Sell Price,Backup Sell Time,Yesterday High,Time Threshold,Buy Time Threshold,Sell_Time,Market Cap,Sector,Float,Market Capitalization,Shares Float
7,0,2024-11-22,OKTA,77.94583833118402,8.258134849923877,0.0509290201844673,76.57,09:30:00,2.827559555695039,85.74042216430243,74.04854641462482,,78.62,12:30:00,10:30:00,16:00:00,12576430000.0,Technology,159730000.0,12576.43M,159.73M
4,0,2024-11-22,POWW,1.3018053080536165,5.576560429549634,0.1166666666666667,1.28,09:30:00,169.3006616554084,1.431985838858978,1.2367150426509357,,1.34,12:30:00,10:30:00,16:00:00,147260000.0,Industrials,86870000.0,147.26M,86.87M
5,0,2024-11-22,CXW,22.54102984449773,16.017640186074544,0.0865882352941176,22.1,09:30:00,9.777570125253122,24.7951328289475,21.41397835227284,,23.09,12:30:00,10:30:00,16:00:00,1508490000.0,Industrials,107310000.0,1508.49M,107.31M
3,0,2024-11-22,CGC,3.955502563658969,6.6681622506517915,0.0621761658031087,3.92,11:00:00,55.71896274948337,4.351052820024865,3.75772743547602,,4.1,12:30:00,10:30:00,16:00:00,368290000.0,Healthcare,84100000.0,368.29M,84.1M
9,0,2024-11-22,SNOW,175.12068225605347,8.370328152435885,0.07320881628731,167.5,09:30:00,1.258540665560829,192.63275048165883,166.3646481432508,,178.7,12:30:00,10:30:00,16:00:00,40076510000.0,Technology,309120000.0,40076.51M,309.12M
10,0,2024-11-22,ROST,150.1480709427428,16.2300738870714,0.1072573178548536,146.45,09:30:00,1.4678610162367365,165.1628780370171,142.64066739560567,,155.47,12:30:00,10:30:00,16:00:00,48864930000.0,Consumer Cyclical,325020000.0,48864.93M,325.02M
12,0,2024-11-22,CHPT,1.1682021082172152,7.436792289669482,0.0526315789473684,1.15,11:00:00,188.66298772251452,1.2850223190389367,1.1097920028063544,,1.2,12:30:00,10:30:00,16:00:00,569690000.0,Consumer Cyclical,393030000.0,569.69M,393.03M
13,0,2024-11-22,PSNY,1.1625767261155495,9.295933135259082,0.1747572815533979,1.13,09:30:00,189.57587490711097,1.2788343987271045,1.104447889809772,,1.23,12:30:00,10:30:00,16:00:00,603660000.0,Consumer Cyclical,467670000.0,603.66M,467.67M
1,0,2024-11-22,ONDS,0.9299083793924892,11.923849880656563,0.3212435233160621,0.9074,10:00:00,237.008833218586,1.0228992173317382,0.8834129604228647,,1.02,12:30:00,10:30:00,16:00:00,68900000.0,Technology,63310000.0,68.9M,63.31M
14,0,2024-11-22,MRVL,93.4557903309884,6.820659919891347,0.0522926612634618,92.69,09:30:00,2.358296893316413,102.80136936408724,88.78300081443899,,94.78,12:30:00,10:30:00,16:00:00,70881150000.0,Technology,854910000.0,70881.15M,854.91M
8,0,2024-11-22,MTC,0.3128574530602241,99.14475220087044,0.4473684210526316,0.2242,11:00:00,704.4630001433093,0.3441431983662465,0.2972145804072129,,0.44,12:30:00,10:30:00,16:00:00,77110000.0,Technology,198780000.0,77.11M,198.78M
0,0,2024-11-22,REPL,15.27303291158094,33.02606949247975,0.5045454545454546,14.64,09:30:00,14.430434431453495,16.800336202739036,14.509381266001894,,17.0,12:30:00,10:30:00,16:00:00,775430000.0,Healthcare,52460000.0,775.43M,52.46M
